date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2013-10-01;AAPL;buy;11,235219;34,4983;0,00;3449,83;3449,83;19,85964394;3449,83;173,71067467;10000,00
2013-10-01;VOO;buy;7,707817;23,6672;0,00;2366,72;2366,72;160,88000488;2366,72;14,71111949;10000,00
2013-10-01;GLD;buy;11,639616;35,7400;0,00;3574,00;3574,00;127,73999786;3574,00;27,97874217;10000,00
2013-10-01;TLT;buy;1,984785;6,0944;0,00;609,44;609,44;107,63999939;609,44;5,66182104;10000,00
2013-11-01;AAPL;sell;11,235219;34,4031;3449,83;3390,72;-59,11;19,85964394;59,11;2,97634418;9855,88
2013-11-01;VOO;sell;8,040674;24,6211;2437,63;2426,63;-11,00;165,69999695;11,00;0,06641189;9855,88
2013-11-01;GLD;buy;11,419060;34,9660;3377,03;3446,21;69,17;120,69999695;69,17;0,57308366;9855,88
2013-12-01;VOO;sell;8,364748;25,4729;2477,15;2440,07;-37,08;169,14999390;37,08;0,21922272;9579,08
2013-12-01;GLD;sell;11,187133;34,0679;3315,44;3263,39;-52,05;116,12000275;52,05;0,44826706;9579,08
2013-12-01;TLT;sell;1,934156;5,8900;576,71;564,21;-12,50;101,86000061;12,50;0,12274355;9579,08
2013-12-01;AAPL;buy;11,351763;34,5692;3208,83;3311,41;102,58;18,79428673;102,58;5,45800654;9579,08
2014-01-01;GLD;sell;10,977299;33,5243;3374,96;3231,77;-143,19;120,08999634;143,19;1,19233034;9640,09
2014-01-01;TLT;sell;1,922388;5,8709;599,77;565,96;-33,81;108,27999878;33,81;0,31225553;9640,09
2014-01-01;AAPL;buy;11,351763;34,6679;3311,41;3342,01;30,60;18,79428673;30,60;1,62836577;9640,09
2014-01-01;VOO;buy;8,492880;25,9369;2353,95;2500,34;146,39;163,17999268;146,39;0,89713205;9640,09
2014-02-01;GLD;sell;10,800184;32,9524;3434,41;3281,53;-152,88;127,62000275;152,88;1,19790801;9958,40
2014-02-01;AAPL;buy;11,351763;34,6353;3342,01;3449,13;107,11;18,79428673;107,11;5,69922166;9958,40
2014-02-01;VOO;buy;8,711926;26,5809;2614,50;2647,04;32,54;170,63000488;32,54;0,19069521;9958,40
2014-02-01;TLT;buy;1,911206;5,8313;567,48;580,70;13,23;108,56999969;13,23;0,12181904;9958,40
2014-03-01;AAPL;sell;11,481797;34,9174;4148,86;3690,43;-458,43;22,60714340;458,43;20,27817042;10569,03
2014-03-01;VOO;buy;8,885625;27,0222;2658,21;2855,98;197,77;171,35000610;197,77;1,15420551;10569,03
2014-03-01;GLD;buy;10,614096;32,2786;3178,42;3411,54;233,11;123,61000061;233,11;1,88587881;10569,03
2014-03-01;TLT;buy;1,901219;5,7818;583,54;611,08;27,54;109,09999847;27,54;0,25247392;10569,03
2014-04-01;GLD;sell;10,434747;31,7750;3428,37;3373,78;-54,59;124,22000122;54,59;0,43946362;10617,73
2014-04-01;AAPL;buy;11,481797;34,9634;3690,43;3712,32;21,89;22,60714340;21,89;0,96813674;10617,73
2014-04-01;VOO;buy;9,027311;27,4892;2876,65;2918,73;42,08;172,58999634;32,70;0,18948587;10617,73
2014-05-01;TLT;sell;1,896404;5,7800;639,09;612,58;-26,50;114,09999847;26,50;0,23228795;10598,35
2014-05-01;GLD;buy;10,247104;31,2318;3270,85;3310,06;39,21;120,43000031;26,50;0,22007851;10598,35
2014-06-01;AAPL;sell;11,616622;35,2686;4207,88;4002,18;-205,70;25,62500000;205,70;8,02738018;11347,71
2014-06-01;GLD;sell;10,089505;30,6322;3505,71;3476,05;-29,66;128,03999329;29,66;0,23163973;11347,71
2014-06-01;VOO;buy;9,336163;28,3450;3024,65;3216,51;191,86;179,42999268;191,86;1,06926060;11347,71
2014-06-01;TLT;buy;1,895302;5,7542;609,47;652,97;43,50;113,51999664;43,50;0,38322187;11347,71
2014-07-01;AAPL;sell;11,616622;35,3740;4002,18;3954,75;-47,42;25,62500000;47,42;1,85071314;11179,84
2014-07-01;TLT;sell;1,894685;5,7695;655,62;645,02;-10,59;113,98000336;10,59;0,09294438;11179,84
2014-07-01;VOO;buy;9,407489;28,6469;3172,23;3202,68;30,45;176,96000671;30,45;0,17204525;11179,84
2014-07-01;GLD;buy;9,920677;30,2096;3349,81;3377,39;27,57;123,38999939;27,57;0,22346379;11179,84
2014-08-01;VOO;sell;9,537426;29,0638;3329,91;3298,35;-31,56;183,99000549;31,56;0,17154049;11348,63
2014-08-01;GLD;sell;9,757450;29,7343;3390,25;3374,44;-15,81;123,86000061;15,81;0,12767066;11348,63
2014-08-01;TLT;sell;1,903945;5,8020;673,72;658,44;-15,27;119,05000305;15,27;0,12827814;11348,63
2014-08-01;AAPL;buy;11,616622;35,3999;3954,75;4017,40;62,65;25,62500000;62,65;2,44474288;11348,63
2014-09-01;AAPL;sell;11,758820;35,8263;4661,36;4194,48;-466,88;29,73250008;466,88;15,70253043;11707,84
2014-09-01;VOO;buy;9,582859;29,1966;3237,40;3418,30;180,90;180,58999634;180,90;1,00172728;11707,84
2014-09-01;GLD;buy;9,573398;29,1678;3166,02;3414,92;248,90;116,20999908;248,90;2,14181864;11707,84
2014-09-01;TLT;buy;1,906711;5,8093;643,07;680,14;37,07;116,26999664;37,07;0,31885113;11707,84
2014-10-01;VOO;sell;9,651506;29,5082;3500,45;3453,37;-47,07;184,92999268;47,07;0,25454982;11703,11
2014-10-01;TLT;sell;1,914731;5,8540;697,57;685,10;-12,47;119,25000000;12,47;0,10457659;11703,11
2014-10-01;AAPL;buy;11,758820;35,9510;4194,48;4207,38;12,90;29,73250008;12,90;0,43388174;11703,11
2014-10-01;GLD;buy;9,382854;28,6868;3310,60;3357,25;46,64;112,66000366;46,64;0,41402685;11703,11
2014-11-01;VOO;sell;9,746254;29,8698;3548,61;3524,81;-23,80;190,02999878;23,80;0,12525409;11800,57
2014-11-01;GLD;sell;9,195981;28,1834;3340,86;3325,80;-15,06;112,11000061;15,06;0,13433028;11800,57
