scenario;rebalance;start;end;final;return_pct;cash;total_trades
10 assets full;daily;2023-08-11;2026-05-29;23332,99;133,33;0,00;6114
10 assets full;weekly;2023-08-11;2026-05-29;23741,07;137,41;0,00;1150
10 assets full;monthly;2023-08-11;2026-05-29;24211,85;142,12;12,88;311
Pandemic 2020;daily;2020-01-02;2020-12-31;14637,28;46,37;0,00;687
Pandemic 2020;weekly;2020-01-02;2020-12-31;14552,85;45,53;0,00;184
Pandemic 2020;monthly;2020-01-02;2020-12-31;14561,71;45,62;6,06;50
Mixed bear 2022;daily;2022-01-01;2022-12-31;3523,61;-64,76;0,00;761
Mixed bear 2022;weekly;2022-01-01;2022-12-31;3549,70;-64,50;0,00;224
Mixed bear 2022;monthly;2022-01-01;2022-12-31;3480,40;-65,20;0,00;69
Crypto bear 2021-22;daily;2021-11-10;2022-12-31;2548,95;-74,51;0,00;760
Crypto bear 2021-22;weekly;2021-11-10;2022-12-31;2562,12;-74,38;0,00;184
Crypto bear 2021-22;monthly;2021-11-10;2022-12-31;2531,80;-74,68;0,00;52
