date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2021-06-25;BTCUSDT;buy;52,093349;26,5107;0,00;2651,07;2651,07;31584,45000000;2651,07;0,08393604;10000,00
2021-06-25;BNBUSDT;buy;123,973193;63,0910;0,00;6309,10;6309,10;280,81000000;6309,10;22,46749922;10000,00
2021-06-25;VOO;buy;7,535800;3,8350;0,00;383,50;383,50;393,51998901;383,50;0,97454535;10000,00
2021-06-25;GLDM;buy;12,896720;6,5632;0,00;656,32;656,32;35,38000107;656,32;18,55072825;10000,00
2021-06-26;BTCUSDT;sell;52,157992;26,4926;2709,76;2657,90;-51,86;32283,65000000;51,86;0,00160647;10032,63
2021-06-26;BNBUSDT;buy;124,287402;63,1292;6283,04;6333,51;50,48;279,65000000;50,48;0,18050306;10032,63
2021-06-27;BTCUSDT;sell;52,234275;26,4775;2856,86;2776,35;-80,51;34700,34000000;80,51;0,00232013;10485,70
2021-06-27;BNBUSDT;buy;124,610949;63,1652;6587,62;6623,32;35,69;290,87000000;35,69;0,12271269;10485,70
2021-06-27;VOO;buy;7,535800;3,8199;383,50;400,54;17,04;393,51998901;17,04;0,04330031;10485,70
2021-06-27;GLDM;buy;12,896720;6,5373;656,32;685,49;29,16;35,38000107;29,16;0,82423291;10485,70
2021-06-28;GLDM;sell;12,782792;6,4703;688,97;676,34;-12,63;35,56000137;12,63;0,35524663;10452,94
2021-06-29;BTCUSDT;sell;52,390148;26,4636;2873,28;2861,25;-12,03;35911,73000000;12,03;0,00033503;10812,00
2021-06-29;VOO;buy;7,535800;3,8065;400,54;411,56;11,02;393,51998901;11,02;0,02800119;10812,00
2021-06-29;GLDM;buy;12,782792;6,4569;676,34;698,12;21,78;35,56000137;13,65;0,38371879;10812,00
2021-06-30;BNBUSDT;sell;125,592420;63,3098;6915,69;6843,43;-72,27;303,71000000;72,27;0,23795245;10809,43
2021-06-30;BTCUSDT;buy;52,466640;26,4479;2792,19;2858,86;66,67;35045,00000000;66,67;0,00190251;10809,43
2021-07-01;VOO;sell;7,585474;3,8154;421,63;394,02;-27,61;403,14999390;27,61;0,06848930;10327,02
2021-07-01;GLDM;sell;12,782792;6,4297;689,99;663,99;-25,99;35,56000137;25,99;0,73098070;10327,02
2021-07-01;BNBUSDT;buy;125,906207;63,3300;6476,59;6540,10;63,51;287,43000000;59,20;0,20596432;10327,02
2021-07-02;BTCUSDT;sell;52,604622;26,4091;2756,20;2731,79;-24,42;33786,55000000;24,42;0,00072267;10344,10
2021-07-02;BNBUSDT;buy;126,218147;63,3654;6529,88;6554,58;24,70;287,17000000;24,42;0,08502445;10344,10
2021-07-03;BNBUSDT;sell;126,538898;63,4010;6804,44;6762,10;-42,35;298,13000000;42,35;0,14204062;10665,61
2021-07-03;BTCUSDT;buy;52,677920;26,3937;2803,15;2815,05;11,90;34669,13000000;11,90;0,00034334;10665,61
2021-07-03;VOO;buy;7,585474;3,8006;394,02;405,36;11,34;403,14999390;11,34;0,02812258;10665,61
2021-07-03;GLDM;buy;12,782792;6,4047;663,99;683,10;19,11;35,56000137;19,11;0,53728291;10665,61
2021-07-04;BNBUSDT;sell;126,866744;63,4370;6977,35;6934,28;-43,06;307,62000000;43,06;0,13998977;10930,98
2021-07-04;BTCUSDT;buy;52,753686;26,3783;2865,18;2883,41;18,23;35286,51000000;18,23;0,00051669;10930,98
2021-07-04;GLDM;buy;12,782792;6,3918;683,10;698,68;15,58;35,56000137;15,58;0,43823911;10930,98
2021-07-05;BNBUSDT;sell;127,187868;63,5063;6808,05;6784,10;-23,95;302,02000000;23,95;0,07930049;10682,56
2021-07-05;GLDM;sell;12,681254;6,3319;706,93;676,41;-30,53;35,97999954;30,53;0,84841806;10682,56
2021-07-05;BTCUSDT;buy;52,821287;26,3743;2752,97;2817,45;64,48;33690,14000000;63,72;0,00189147;10682,56
2021-07-06;BNBUSDT;sell;127,523372;63,5453;7186,18;7071,91;-114,27;319,92000000;114,27;0,35716941;11128,93
2021-07-06;BTCUSDT;buy;52,891029;26,3558;2860,99;2933,11;72,13;34220,01000000;72,13;0,00210769;11128,93
2021-07-06;VOO;buy;7,585474;3,7799;405,36;420,66;15,30;403,14999390;15,30;0,03794937;11128,93
2021-07-06;GLDM;buy;12,681254;6,3191;676,41;703,25;26,84;35,97999954;26,84;0,74600236;11128,93
2021-07-07;BNBUSDT;sell;127,863753;63,5856;7239,69;7163,58;-76,11;327,51000000;76,11;0,23238746;11266,04
2021-07-07;BTCUSDT;buy;52,958572;26,3359;2902,44;2967,01;64,57;33862,12000000;64,57;0,00190689;11266,04
