date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2020-11-06;BTCUSDT;buy;13,349232;18,3636;0,00;1836,36;1836,36;15579,92000000;1836,36;0,11786714;10000,00
2020-11-06;BNBUSDT;buy;52,063014;71,6195;0,00;7161,95;7161,95;29,04350000;7161,95;246,59375054;10000,00
2020-11-06;VOO;buy;7,281708;10,0169;0,00;1001,69;1001,69;332,64001465;1001,69;3,01134478;10000,00
2020-11-07;VOO;sell;7,281708;10,0031;1001,69;959,80;-41,89;332,64001465;41,89;0,12594367;9594,98
2020-11-07;BTCUSDT;buy;13,434195;18,4550;1746,59;1770,76;24,17;14818,30000000;24,17;0,00163087;9594,98
2020-11-07;BNBUSDT;buy;52,078311;71,5418;6846,70;6864,43;17,73;27,76510000;17,73;0,63847006;9594,98
2020-11-08;BTCUSDT;sell;13,526465;18,5529;1849,24;1824,29;-24,95;15475,10000000;24,95;0,00161245;9832,94
2020-11-08;VOO;buy;7,281708;9,9876;959,80;982,07;22,27;332,64001465;22,27;0,06695343;9832,94
2020-11-09;VOO;sell;7,281708;9,9728;982,07;971,10;-10,97;332,64001465;10,97;0,03296749;9737,52
2020-11-10;BNBUSDT;sell;52,135785;71,2984;6976,60;6962,05;-14,55;28,21880000;14,55;0,51546357;9764,67
2020-11-10;BTCUSDT;buy;13,705890;18,7435;1803,32;1830,24;26,92;15297,21000000;26,92;0,00175992;9764,67
2020-11-11;BTCUSDT;sell;13,799197;18,8429;1876,55;1839,25;-37,30;15684,24000000;37,30;0,00237836;9760,94
2020-11-11;BNBUSDT;buy;52,151921;71,2139;6912,02;6951,14;39,13;28,01600000;38,57;1,37687147;9760,94
2020-11-12;BTCUSDT;sell;13,898802;18,9499;1910,50;1847,74;-62,76;16291,86000000;62,76;0,00385196;9750,67
2020-11-12;BNBUSDT;buy;52,164427;71,1221;6869,07;6934,88;65,81;27,68740000;62,76;2,26657567;9750,67
2020-11-13;BNBUSDT;sell;52,181539;71,0325;7059,51;7019,17;-40,34;28,19740000;40,34;1,43060928;9881,63
2020-11-13;BTCUSDT;buy;13,998242;19,0552;1851,01;1882,96;31,95;16320,70000000;31,95;0,00195763;9881,63
2020-11-15;VOO;sell;7,281708;9,8832;971,10;959,71;-11,39;332,64001465;11,39;0,03425317;9710,52
