symbol;initialSlope;initialWeight;initialCapital;finalValue;strategyReturnPct;buyHoldAllInPct;trades;buys;sells;firstDate;lastDate
BTCUSDT;42,556340;10,1868;1018,68;3182,95;135,30;149,65;722;354;368;2023-08-11;2026-05-29
ETHUSDT;56,814025;13,5998;1359,98;3134,19;135,30;8,96;781;434;347;2023-08-11;2026-05-29
BNBUSDT;136,616533;32,7023;3270,23;6451,48;135,30;168,29;881;431;450;2023-08-11;2026-05-29
SOLUSDT;65,924555;15,7806;1578,06;4820,66;135,30;233,23;910;501;409;2023-08-11;2026-05-29
ADAUSDT;72,853593;17,4392;1743,92;2444,60;135,30;-20,59;800;471;329;2023-08-11;2026-05-29
NVDA;15,678034;3,7529;375,29;1418,15;135,30;327,80;677;354;323;2023-08-11;2026-05-29
AAPL;14,246883;3,4103;341,03;1092,68;135,30;66,10;620;326;294;2023-08-11;2026-05-29
VOO;7,529255;1,8023;180,23;580,09;135,30;68,06;428;223;205;2023-08-11;2026-05-29
TLT;1,683452;0,4030;40,30;60,15;135,30;-11,26;41;23;18;2023-08-11;2026-05-29
GLD;3,855110;0,9228;92,28;345,27;135,30;131,71;251;132;119;2023-08-11;2026-05-29
