date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2023-08-11;BTCUSDT;buy;42,556340;10,1868;0,00;1018,68;1018,68;29426,03000000;1018,68;0,03461848;10000,00
2023-08-11;ETHUSDT;buy;56,814025;13,5998;0,00;1359,98;1359,98;1848,84000000;1359,98;0,73558300;10000,00
2023-08-11;BNBUSDT;buy;136,616533;32,7023;0,00;3270,23;3270,23;239,70000000;3270,23;13,64302516;10000,00
2023-08-11;SOLUSDT;buy;65,924555;15,7806;0,00;1578,06;1578,06;24,62000000;1578,06;64,09654386;10000,00
2023-08-11;ADAUSDT;buy;72,853593;17,4392;0,00;1743,92;1743,92;0,29330000;1743,92;5945,85568666;10000,00
2023-08-11;NVDA;buy;15,678034;3,7529;0,00;375,29;375,29;49,35499954;375,29;7,60389128;10000,00
2023-08-11;AAPL;buy;14,246883;3,4103;0,00;341,03;341,03;187,86999512;341,03;1,81525598;10000,00
2023-08-11;VOO;buy;7,529255;1,8023;0,00;180,23;180,23;413,82998657;180,23;0,43551738;10000,00
2023-08-11;TLT;buy;1,683452;0,4030;0,00;40,30;40,30;96,63999939;40,30;0,41698391;10000,00
2023-08-11;GLD;buy;3,855110;0,9228;0,00;92,28;92,28;180,02000427;92,28;0,51261518;10000,00
2023-08-12;SOLUSDT;sell;65,685889;15,7433;1596,64;1577,38;-19,26;24,91000000;19,26;0,77323554;10019,39
2023-08-12;ADAUSDT;buy;72,735813;17,4330;1735,60;1746,68;11,09;0,29190000;11,09;37,97704226;10019,39
2023-08-13;BNBUSDT;sell;136,368786;32,7263;3277,05;3255,89;-21,16;240,20000000;21,16;0,08810245;9948,87
2023-08-13;SOLUSDT;buy;65,440139;15,7046;1534,32;1562,43;28,10;24,23000000;28,10;1,15978695;9948,87
2023-08-14;SOLUSDT;sell;65,207187;15,6682;1623,68;1571,20;-52,48;25,18000000;52,48;2,08436422;10027,93
2023-08-14;BNBUSDT;buy;136,245198;32,7375;3258,60;3282,90;24,29;240,40000000;24,29;0,10105373;10027,93
2023-08-15;BNBUSDT;sell;136,119950;32,7500;3232,37;3217,99;-14,38;236,70000000;14,38;0,06074402;9825,92
2023-08-15;SOLUSDT;buy;64,959855;15,6291;1491,33;1535,71;44,38;23,90000000;43,81;1,83286421;9825,92
2023-08-16;BTCUSDT;sell;42,435946;10,2237;994,61;983,23;-11,38;28730,51000000;11,38;0,00039597;9617,15
2023-08-16;ETHUSDT;sell;56,695299;13,6591;1329,79;1313,62;-16,18;1807,81000000;16,18;0,00894906;9617,15
2023-08-16;NVDA;sell;15,678034;3,7772;375,29;363,26;-12,03;49,35499954;12,03;0,24382271;9617,15
2023-08-16;AAPL;sell;14,246883;3,4324;341,03;330,10;-10,94;187,86999512;10,94;0,05820712;9617,15
2023-08-16;SOLUSDT;buy;64,700081;15,5876;1465,77;1499,08;33,32;22,82000000;33,32;1,46011965;9617,15
2023-08-16;ADAUSDT;buy;72,256863;17,4082;1643,76;1674,17;30,41;0,27470000;17,20;62,62769614;9617,15
2023-08-17;SOLUSDT;sell;64,426263;15,5440;1422,88;1409,97;-12,92;21,66000000;12,92;0,59636991;9070,77
2023-08-17;NVDA;sell;15,678034;3,7826;363,26;343,11;-20,14;49,35499954;20,14;0,40813061;9070,77
2023-08-17;AAPL;sell;14,246883;3,4373;330,10;311,79;-18,30;187,86999512;18,30;0,09743189;9070,77
2023-08-17;VOO;sell;7,529255;1,8166;180,23;164,78;-15,45;413,82998657;15,45;0,03734101;9070,77
