strategy,symbol,name,market,signalDate,intendedEntryDate,signalType,priority,holdScore,status,statusReason,tradeId
final_trend_runner_global_regime,KO,The Coca-Cola Company,stock,1994-12-27,1994-12-28,Pullback,2,100,executed,,3
final_trend_runner_global_regime,MRK,"Merck & Co., Inc.",stock,1994-12-27,1994-12-28,Pullback + Breakout,1,97.2108843537415,executed,,2
final_trend_runner_global_regime,DHR,Danaher Corporation,stock,1994-12-27,1994-12-28,Pullback + Breakout,1,98.70748299319729,executed,,1
final_trend_runner_global_regime,PG,Procter & Gamble Company,stock,1994-12-27,1994-12-28,Pullback,2,99.79591836734694,executed,,5
final_trend_runner_global_regime,PEP,"PepsiCo, Inc.",stock,1994-12-27,1994-12-28,Pullback,2,100,executed,,4
final_trend_runner_global_regime,BP,BP p.l.c.,adr,1994-12-27,1994-12-28,Pullback,2,76.52031601315734,executed,,6
final_trend_runner_global_regime,PFE,Pfizer Inc.,stock,1994-12-28,1994-12-29,Pullback,2,97.52834467120182,executed,,7
final_trend_runner_global_regime,MCD,McDonald's Corporation,stock,1994-12-28,1994-12-29,Breakout,3,100,executed,,8
final_trend_runner_global_regime,MDT,Medtronic plc,stock,1994-12-29,1994-12-30,Pullback + Breakout,1,100,executed,,9
final_trend_runner_global_regime,LLY,Eli Lilly and Company,stock,1994-12-30,1995-01-03,Pullback,2,86.2215291229506,executed,,10
final_trend_runner_global_regime,DIS,The Walt Disney Company,stock,1995-01-03,1995-01-04,Pullback,2,97.57369614512471,executed,,11
final_trend_runner_global_regime,JNJ,Johnson & Johnson,stock,1995-01-04,1995-01-05,Pullback,2,100,executed,,12
final_trend_runner_global_regime,DHR,Danaher Corporation,stock,1995-01-04,1995-01-05,Pullback,2,98.70748299319729,executed,,13
final_trend_runner_global_regime,BA,Boeing Company,stock,1995-01-06,1995-01-09,Pullback,2,86.16994576199376,executed,,14
final_trend_runner_global_regime,MDT,Medtronic plc,stock,1995-01-09,1995-01-10,Pullback,2,100,executed,,15
final_trend_runner_global_regime,CVX,Chevron Corporation,stock,1995-01-10,1995-01-11,Pullback,2,99.61451247165533,executed,,16
final_trend_runner_global_regime,PG,Procter & Gamble Company,stock,1995-01-12,1995-01-13,Reentrada,4,99.79591836734694,executed,,17
final_trend_runner_global_regime,PFE,Pfizer Inc.,stock,1995-01-13,1995-01-16,Pullback,2,97.52834467120182,executed,,18
final_trend_runner_global_regime,MRK,"Merck & Co., Inc.",stock,1995-01-13,1995-01-16,Pullback,2,97.2108843537415,executed,,19
final_trend_runner_global_regime,KO,The Coca-Cola Company,stock,1995-01-16,1995-01-17,Pullback,2,100,executed,,20
final_trend_runner_global_regime,LLY,Eli Lilly and Company,stock,1995-01-16,1995-01-17,Pullback,2,85.58943853719383,executed,,21
final_trend_runner_global_regime,BP,BP p.l.c.,adr,1995-01-16,1995-01-17,Pullback,2,76.65354561167672,executed,,22
final_trend_runner_global_regime,XOM,Exxon Mobil Corporation,stock,1995-01-17,1995-01-18,Pullback,2,100,executed,,23
final_trend_runner_global_regime,PEP,"PepsiCo, Inc.",stock,1995-01-31,1995-02-01,Pullback + Breakout,1,100,executed,,24
final_trend_runner_global_regime,BP,BP p.l.c.,adr,1995-02-02,1995-02-03,Pullback,2,76.64480617202261,executed,,25
final_trend_runner_global_regime,DE,Deere & Company,stock,1995-02-03,1995-02-06,Pullback,2,82.4992349058861,executed,,27
final_trend_runner_global_regime,HON,Honeywell International Inc.,stock,1995-02-03,1995-02-06,Pullback + Breakout,1,76.94480094529197,executed,,26
final_trend_runner_global_regime,DHR,Danaher Corporation,stock,1995-02-07,1995-02-08,Pullback,2,98.70748299319729,executed,,28
final_trend_runner_global_regime,BA,Boeing Company,stock,1995-02-23,1995-02-24,Pullback,2,85.48212050703435,executed,,29
final_trend_runner_global_regime,WFC,Wells Fargo & Company,stock,1995-03-01,1995-03-02,Pullback + Breakout,1,100,executed,,30
final_trend_runner_global_regime,BP,BP p.l.c.,adr,1995-03-03,1995-03-06,Pullback,2,76.57922030463489,executed,,31
final_trend_runner_global_regime,BAC,Bank of America Corporation,stock,1995-03-10,1995-03-13,Pullback,2,93.40136054421768,executed,,32
final_trend_runner_global_regime,ABT,Abbott Laboratories,stock,1995-03-13,1995-03-14,Pullback + Breakout,1,99.00226757369614,executed,,33
final_trend_runner_global_regime,INTC,Intel Corporation,stock,1995-03-13,1995-03-14,Pullback,2,91.24716553287982,executed,,35
final_trend_runner_global_regime,AMAT,"Applied Materials, Inc.",stock,1995-03-13,1995-03-14,Pullback + Breakout,1,91.76870748299321,executed,,34
final_trend_runner_global_regime,TMO,Thermo Fisher Scientific Inc.,stock,1995-03-14,1995-03-15,Pullback + Breakout,1,99.29705215419501,executed,,36
final_trend_runner_global_regime,UL,Unilever PLC,adr,1995-03-22,1995-03-23,Breakout,3,99.56916099773242,executed,,37
final_trend_runner_global_regime,WMT,Walmart Inc.,stock,1995-03-24,1995-03-27,Reentrada,4,98.45804988662132,executed,,38
final_trend_runner_global_regime,WFC,Wells Fargo & Company,stock,1995-03-29,1995-03-30,Pullback,2,100,executed,,39
final_trend_runner_global_regime,UNP,Union Pacific Corporation,stock,1995-04-03,1995-04-04,Pullback,2,92.5990325388306,executed,,40
final_trend_runner_global_regime,UNP,Union Pacific Corporation,stock,1995-04-13,1995-04-17,Reentrada,4,92.49097529292598,executed,,41
final_trend_runner_global_regime,CVX,Chevron Corporation,stock,1995-04-25,1995-04-26,Pullback,2,99.75056689342404,executed,,42
final_trend_runner_global_regime,BHP,BHP Group Limited,adr,1995-04-27,1995-04-28,Pullback,2,100,executed,,43
final_trend_runner_global_regime,WMT,Walmart Inc.,stock,1995-05-11,1995-05-12,Pullback,2,98.20861678004536,executed,,44
final_trend_runner_global_regime,LLY,Eli Lilly and Company,stock,1995-05-23,1995-05-24,Pullback,2,81.26821429350576,executed,,45
