strategy,symbol,signalDate,intendedEntryDate,signalType,holdScore,reason,regimeReason,regimeBenchmarks
final_trend_runner_global_regime,JNJ,1998-09-03,1998-09-04,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,JNJ,1998-09-04,1998-09-08,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MRK,1998-09-08,1998-09-09,Pullback,99.38775510204081,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,ABT,1998-09-08,1998-09-09,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MDT,1998-09-08,1998-09-09,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,AMGN,1998-09-08,1998-09-09,Pullback,99.13832199546485,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MRK,1998-09-09,1998-09-10,Pullback,99.38775510204081,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,AMGN,1998-09-10,1998-09-11,Pullback,99.13832199546485,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MRK,1998-09-11,1998-09-14,Pullback,99.38775510204081,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,PFE,1998-09-14,1998-09-15,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MRK,1998-09-14,1998-09-15,Pullback,99.38775510204081,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,ABT,1998-09-14,1998-09-15,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MDT,1998-09-14,1998-09-15,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,LOW,1998-09-14,1998-09-15,Pullback,98.02721088435374,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,INTC,1998-09-14,1998-09-15,Pullback,97.1655328798186,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,WMT,1998-09-15,1998-09-16,Reentrada,93.86595291510311,bear_regime_reentry_disabled,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,ABT,1998-09-15,1998-09-16,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,HD,1998-09-15,1998-09-16,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,HD,1998-09-16,1998-09-17,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,ABT,1998-09-21,1998-09-22,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,INTC,1998-09-21,1998-09-22,Pullback,97.27891156462586,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,WMT,1998-09-22,1998-09-23,Pullback,93.86618066442907,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,DHR,1998-09-22,1998-09-23,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MDT,1998-09-22,1998-09-23,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,HD,1998-09-22,1998-09-23,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,LOW,1998-09-22,1998-09-23,Pullback,98.0498866213152,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,BP,1998-10-06,1998-10-07,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,MRK,1998-10-09,1998-10-12,Pullback,99.38775510204081,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,INTC,1998-10-09,1998-10-12,Pullback,97.52834467120182,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,WMT,1998-10-12,1998-10-13,Reentrada,93.84306794234203,bear_regime_reentry_disabled,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,ABT,1998-10-12,1998-10-13,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,INTC,1998-10-12,1998-10-13,Pullback,97.55102040816327,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,BP,1998-10-12,1998-10-13,Reentrada,100,bear_regime_reentry_disabled,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,BP,1998-10-14,1998-10-15,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear
final_trend_runner_global_regime,DE,1999-09-29,1999-09-30,Pullback,91.4916014762765,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear;QQQ:ok
final_trend_runner_global_regime,BP,1999-10-18,1999-10-19,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear;QQQ:ok
final_trend_runner_global_regime,BP,1999-10-20,1999-10-21,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200,SPY:bear;QQQ:ok
final_trend_runner_global_regime,FDX,2000-09-21,2000-09-22,Pullback,82.04081632653062,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,DIS,2000-10-02,2000-10-03,Pullback,95.46485260770976,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,SHEL,2000-10-02,2000-10-03,Reentrada,100,bear_regime_reentry_disabled,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,MDT,2000-10-03,2000-10-04,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,DIS,2000-10-05,2000-10-06,Pullback,95.53287981859411,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
