strategy,tradeId,symbol,name,market,signalType,signalDate,entryDate,exitDate,entryPrice,exitAveragePrice,allocatedCapital,desiredCapitalUsd,isPartialPosition,netPnl,returnPct,barsHeld,calendarDays,holdScore,tp1QtyPct,tp1Reached,trailAtr,exitReason,totalFees,mfePct,maePct
final_trend_runner_global_regime,1,EWC,iShares MSCI Canada ETF,etf,Pullback,2011-04-05,2011-04-06,2011-04-12,24.956257467139856,24.176882653050715,30.25,30.25,false,-0.9739871198977994,-3.2197921318935516,4,6,93.86952478540553,13.065237607297234,false,7.662823863197304,runner_trailing_stop,0.029762770383963723,0.0947939599074098,-4.972197081312917
final_trend_runner_global_regime,5,EWM,iShares MSCI Malaysia ETF,etf,Pullback,2011-04-07,2011-04-08,2011-04-12,25.018403635175734,24.342708734120325,30.232151311215148,30.232151311215144,false,-0.845908294908444,-2.798042012295167,2,4,88.27970826650316,15.860145866748418,false,7.3553839546576745,runner_trailing_stop,0.029808993138935484,0.08347267204083264,-2.919006558783589
final_trend_runner_global_regime,6,EWW,iShares MSCI Mexico ETF,etf,Pullback,2011-04-11,2011-04-12,2011-04-18,44.58244030343808,43.173763754888675,30.223278282887765,30.22327828288776,false,-0.9842221200753407,-3.2565035164719416,4,6,97.3922902494331,11.303854875283449,false,7.856575963718821,runner_trailing_stop,0.029730928600052227,0.3272568431791334,-3.335019747587342
final_trend_runner_global_regime,3,EWP,iShares MSCI Spain ETF,etf,Pullback + Breakout,2011-04-06,2011-04-07,2011-04-18,24.159279552939832,22.975102188562595,30.23814454264289,30.23814454264289,false,-1.5108771559351695,-4.996593470887334,7,11,84.96462383945912,17.51768808027044,false,7.173054311170252,runner_trailing_stop,0.029482335615970225,1.4298828446055283,-6.516007264063129
final_trend_runner_global_regime,10,EWC,iShares MSCI Canada ETF,etf,Reentrada,2011-04-20,2011-04-21,2011-05-04,24.464649307250976,23.64490121308528,30.14896121245722,30.148961212457216,false,-1.0393390940829939,-3.447346284201495,8,13,94.18534740038075,12.907326299809625,false,7.680194107020941,runner_trailing_stop,0.029629039237902013,1.3677456559687002,-4.244092008708282
final_trend_runner_global_regime,9,EWW,iShares MSCI Mexico ETF,etf,Reentrada,2011-04-20,2011-04-21,2011-05-04,44.477268416275386,43.06610372003632,30.15018137095041,30.150181370950413,false,-0.9857771179350721,-3.2695561788058254,8,13,97.48299319727892,11.258503401360542,false,7.86156462585034,runner_trailing_stop,0.029657053781966838,1.8563904134990619,-3.95722705159557
final_trend_runner_global_regime,2,EWA,iShares MSCI Australia ETF,etf,Pullback + Breakout,2011-04-06,2011-04-07,2011-05-05,13.90171250401623,13.417308570416768,30.241705692294722,30.241705692294722,false,-1.0829428898753335,-3.5809583655569277,19,28,98.04525797159816,10.97737101420092,false,7.892489188437899,runner_trailing_stop,0.029699970936627317,3.4896982556440936,-4.2100131074664295
final_trend_runner_global_regime,7,EWM,iShares MSCI Malaysia ETF,etf,Pullback,2011-04-19,2011-04-20,2011-05-05,24.784598508658704,24.19181501478788,30.12048253790888,30.120482537908877,false,-0.7497894250182497,-2.489300840630902,10,15,88.68001441960361,15.659992790198196,false,7.377400793078198,runner_trailing_stop,0.029745407814395455,2.307304964477128,-2.7440449317184457
final_trend_runner_global_regime,11,EWA,iShares MSCI Australia ETF,etf,Pullback,2011-05-10,2011-05-11,2011-05-12,13.8560306169797,13.303438186728942,30.04020488884607,30.040204888846066,false,-1.2268613273441353,-4.08406444591085,1,1,98.4457421009572,10.777128949521398,false,7.914515815552646,runner_trailing_stop,0.029426474866460883,0.059862696797840134,-4.040650121206435
final_trend_runner_global_regime,8,EWP,iShares MSCI Spain ETF,etf,Pullback,2011-04-20,2011-04-21,2011-05-13,23.83457938710408,22.82887851947502,30.156366152331167,30.156366152331163,false,-1.3013183523689307,-4.315235946517832,15,22,85.05430307242835,17.472848463785823,false,7.177986668983559,runner_trailing_stop,0.029505389022905865,6.134898453326578,-4.850161326646249
