universe;rebalance;start;end;final;return_pct;cash;total_trades;best_all_in_symbol;best_all_in_pct;voo_all_in_pct
crypto_pure;daily;2023-08-11;2026-06-01;21807,17;118,07;0,00;4240;SOLUSDT;232,21;
crypto_pure;weekly;2023-08-11;2026-06-01;22285,91;122,86;0,00;703;SOLUSDT;232,13;
crypto_pure;monthly;2023-08-11;2026-06-01;22790,02;127,90;0,00;170;SOLUSDT;232,25;
growth_stocks;daily;2015-05-18;2026-05-29;214712,98;2047,13;0,00;11648;NVDA;39606,63;
growth_stocks;weekly;2015-05-18;2026-05-29;217897,10;2078,97;0,00;2667;NVDA;39606,63;
growth_stocks;monthly;2015-05-18;2026-05-29;212833,14;2028,33;0,00;648;NVDA;39606,63;
indices;daily;2013-09-09;2026-05-29;46965,43;369,65;0,00;6152;QQQ;848,62;7,63
indices;weekly;2013-09-09;2026-05-29;46930,84;369,31;0,00;1885;QQQ;848,62;7,63
indices;monthly;2013-09-09;2026-05-29;46866,68;368,67;0,00;536;QQQ;848,62;7,63
defensive;daily;2010-06-01;2026-05-29;23940,15;139,40;1,40;4707;GLD;247,86;
defensive;weekly;2010-06-01;2026-05-29;23798,63;137,99;0,00;1440;GLD;247,86;
defensive;monthly;2010-06-01;2026-05-29;23684,04;136,84;0,00;438;GLD;247,86;
mixed_aggressive;daily;2020-08-17;2026-05-29;38497,18;284,97;6,07;8335;NVDA;1611,44;
mixed_aggressive;weekly;2020-08-17;2026-05-29;38158,33;281,58;0,00;1539;NVDA;1611,44;
mixed_aggressive;monthly;2020-08-17;2026-05-29;37503,24;275,03;0,00;396;NVDA;1611,44;
mixed_balanced;daily;2020-08-17;2026-05-29;35014,05;250,14;0,00;9976;NVDA;1611,44;7,31
mixed_balanced;weekly;2020-08-17;2026-05-29;35061,81;250,62;0,00;1948;NVDA;1611,44;7,31
mixed_balanced;monthly;2020-08-17;2026-05-29;34248,90;242,49;0,00;519;NVDA;1611,44;7,31
crisis_hedge;daily;2013-09-09;2026-05-29;32310,21;223,10;15,03;6318;VOO;352,91;7,63
crisis_hedge;weekly;2013-09-09;2026-05-29;32074,88;220,75;6,27;1681;VOO;352,91;7,63
crisis_hedge;monthly;2013-09-09;2026-05-29;31733,40;217,33;0,00;447;VOO;352,91;7,63
